Spend,Geography,Media Vertical,Media Name,Campaign Id,Product Category,Invoice
1916.666,Hyderabad,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011987,FMCG,INV011987
1916.666,Pune,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011987,FMCG,INV011987
1916.666,Chennai,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011987,FMCG,INV011987
1908.612,Bengaluru,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV008203,Services,INV008203
1908.612,Delhi,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV008203,Services,INV008203
1908.612,Mumbai,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV008203,Services,INV008203
1908.612,Hyderabad,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV008203,Services,INV008203
1908.612,Pune,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV008203,Services,INV008203
1908.612,Chennai,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV008203,Services,INV008203
1890,Mumbai,Outdoor,https://www.themediaant.com/outdoor/hoarding-bandra-west-mumbai-28106,635f4ae1b6946300093cdac0,Automobile,INV010059
1885,Bengaluru,Newspaper,https://www.themediaant.com/newspaper/times-of-india-bangalore-english-advertising,635f9d58338bb20009e64de9,Engineering,INV010245
1860,Bengaluru,Newspaper,https://www.themediaant.com/newspaper/times-of-india-bangalore-english-advertising,62873b238be56a00098e6f36,Engineering,INV008794
1840,All India,Newspaper,https://www.themediaant.com/newspaper/times-of-india-all-india-english-advertising,INV001601,Services,INV001601
1822.5,All India,Newspaper,https://www.themediaant.com/newspaper/economic-times-all-india-english-advertising,61fcab872bc4930009179500,Finance,INV007934
1800,All India,Digital,https://www.themediaant.com/digital/ipl-2021-on-hotstar-app-advertising,60de8b24b4b28a00088eb7bd,Finance,INV006978
1800,All India,Digital,https://www.themediaant.com/digital/ipl-2021-on-hotstar-app-advertising,60de8b24b4b28a00088eb7bd,Finance,INV006978
1795.2,Mumbai,Newspaper,https://www.themediaant.com/newspaper/bombay-times-vashi-and-new-panvel-english-advertising,62bd8a32ffd812000a022f34,Fashion & Lifestyle,"INV009140, INV009893"
1771.2,Hyderabad,Digital,https://www.themediaant.com/digital/mx-player-advertising,61c439bdb29d4900085710c4,Finance,"INV007845, INV007954"
1750,All India,Digital,https://www.themediaant.com/digital/sonyliv-advertising,60c1abf96f0aa60008a5b9bd,Education & Skill,INV006619
1750,Delhi,Airport,https://www.themediaant.com/airport/delhi-airport-advertising,62289b0f55a0710009b9dc18,Services,"INV008140, INV008511"
1750,Delhi,Airport,https://www.themediaant.com/airport/delhi-airport-advertising,62289b0f55a0710009b9dc18,Services,"INV008140, INV008511"
1719,All India,Television,https://www.themediaant.com/television/aaj-tak-tv-advertising,INV005033,Healthcare,INV005033
1701,Bengaluru,Digital,https://www.themediaant.com/digital/mx-player-advertising,62048765777e2400093caafa,Finance,"INV008097, INV008146"
1700,All India,Airport,https://www.themediaant.com/airport/air-vistara-india-advertising,INV011077,Services,INV011077
1666.666,Bengaluru,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV012121,Healthcare,INV012121
1666.666,Delhi,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV012121,Healthcare,INV012121
1666.666,Mumbai,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV012121,Healthcare,INV012121
1666.666,Hyderabad,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV012121,Healthcare,INV012121
1666.666,Pune,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV012121,Healthcare,INV012121
1666.666,Chennai,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV012121,Healthcare,INV012121
1656,Mumbai,Radio,https://www.themediaant.com/radio/red-fm-mumbai-advertising,620cb0b1a49e6c0009605ac9,Services,"INV008277, INV008493, INV008603, INV008090"
1629,Delhi,Radio,https://www.themediaant.com/radio/radio-mirchi-delhi-advertising,620cb0b1a49e6c0009605ac9,Services,"INV008277, INV008493, INV008603, INV008090"
1629,Delhi,Radio,https://www.themediaant.com/radio/red-fm-delhi-advertising,620cb0b1a49e6c0009605ac9,Services,"INV008277, INV008493, INV008603, INV008090"
1620,Delhi,Digital,https://www.themediaant.com/digital/hotstar-advertising,62048765777e2400093caafa,Finance,"INV008097, INV008146"
1600,Bengaluru,Digital,https://www.themediaant.com/digital/hotstar-advertising,62cbda8f15abbc0009cc6de1,Fashion & Lifestyle,"INV009158, INV009547, INV009697, INV010068"
1600,Delhi,Radio,https://www.themediaant.com/radio/radio-fever-delhi-advertising,INV004730,Automobile,INV004730
1600,All India,Airport,https://www.themediaant.com/airport/air-vistara-india-advertising,INV011532,Services,INV011532
1587,Bengaluru,Newspaper,https://www.themediaant.com/newspaper/times-of-india-bangalore-english-advertising,63e49023d87ed0000899132b,Healthcare,INV011325
1574.7,Delhi,Radio,https://www.themediaant.com/radio/radio-fever-delhi-advertising,620cb0b1a49e6c0009605ac9,Services,"INV008277, INV008493, INV008603, INV008090"
1573.2,Mumbai,Radio,https://www.themediaant.com/radio/radio-mirchi-mumbai-advertising,620cb0b1a49e6c0009605ac9,Services,"INV008277, INV008493, INV008603, INV008090"
1550,Indore,Newspaper,https://www.themediaant.com/newspaper/dainik-bhaskar-indore-hindi-advertising,62cfa642aa39a60009eb49ac,Finance,INV009241
1537.32,Bengaluru,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV009867,Services,INV009867
1537.32,Delhi,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV009867,Services,INV009867
1537.32,Mumbai,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV009867,Services,INV009867
1537.32,Hyderabad,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV009867,Services,INV009867
1537.32,Pune,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV009867,Services,INV009867
1537.32,Chennai,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV009867,Services,INV009867
1536.57,Bengaluru,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV009867,Services,INV009867
1536.57,Delhi,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV009867,Services,INV009867
1536.57,Mumbai,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV009867,Services,INV009867
1536.57,Hyderabad,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV009867,Services,INV009867
1536.57,Pune,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV009867,Services,INV009867
1536.57,Chennai,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV009867,Services,INV009867
1527.538,Bengaluru,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV008203,Services,INV008203
1527.538,Delhi,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV008203,Services,INV008203
1527.538,Mumbai,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV008203,Services,INV008203
1527.538,Hyderabad,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV008203,Services,INV008203
1527.538,Pune,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV008203,Services,INV008203
1527.538,Chennai,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV008203,Services,INV008203
1526.792,Bengaluru,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV008203,Services,INV008203
1526.792,Delhi,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV008203,Services,INV008203
1526.792,Mumbai,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV008203,Services,INV008203
1526.792,Hyderabad,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV008203,Services,INV008203
1526.792,Pune,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV008203,Services,INV008203
1526.792,Chennai,Digital,https://www.themediaant.com/digital/ipl-2022-on-hotstar-app-advertising,INV008203,Services,INV008203
1518,Chennai,Radio,https://www.themediaant.com/radio/suryan-fm-chennai-advertising,620cb0b1a49e6c0009605ac9,Services,"INV008277, INV008493, INV008603, INV008090"
1516.9,Bengaluru,Outdoor,https://www.themediaant.com/outdoor/skywalk-ramamurthy-nagar-bengaluru-30112,62d649bfd5289790f728a86e,Healthcare,"INV009211, INV009504"
1500,Karnataka,Digital,https://www.themediaant.com/digital/ipl-2020-on-hotstar-app-advertising,5f5a713ebb36b02031e1a7a8,Home Decor & Construction,INV005412
1500,Bengaluru,Digital,https://www.themediaant.com/digital/ipl-2020-on-hotstar-app-advertising,5f919511dcf4555658bceec8,Home Decor & Construction,INV005630
1500,Delhi,Newspaper,https://www.themediaant.com/newspaper/times-of-india-delhi-english-advertising,615ea9620dd14a00087dde8b,Healthcare,INV007167
1500,All India,Digital,https://www.themediaant.com/digital/ipl-2020-on-hotstar-app-advertising,5f5875df92b88a201fc17be8,Food & Restaurant,INV005375
1500,Bengaluru,Nontraditional,https://www.themediaant.com/nontraditional/auto-bangalore-advertising,6376fe07063ab300085089d4,Automobile,INV010330
